;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 23-Jan-20 23:05:58
;----------------------------------------------

;Address Opcode 	ASM
L_interrupt77:
0x0228	0x3000      	MOVLW      0
0x0229	0x063A      	XORWF      _mode+1, 0
0x022A	0x1D03      	BTFSS      STATUS, 2
0x022B	0x2A2E      	GOTO       L__interrupt184
0x022C	0x3003      	MOVLW      3
0x022D	0x0639      	XORWF      _mode, 0
L__interrupt184:
0x022E	0x1D03      	BTFSS      STATUS, 2
0x022F	0x2A32      	GOTO       L_interrupt79
0x0230	0x01B9      	CLRF       _mode
0x0231	0x01BA      	CLRF       _mode+1
L_interrupt79:
L_interrupt73:
L_interrupt72:
L_interrupt66:
L_interrupt54:
L_interrupt42:
L_interrupt41:
L_end_interrupt:
L__interrupt153:
0x0232	0x1283      	BCF        STATUS, 5
0x0233	0x1303      	BCF        STATUS, 6
0x0234	0x0821      	MOVF       33, 0
0x0235	0x00F0      	MOVWF      R0
0x0236	0x0820      	MOVF       32, 0
0x0237	0x00F1      	MOVWF      R1
0x0238	0x0822      	MOVF       34, 0
0x0239	0x0084      	MOVWF      FSR
0x023A	0x1703      	BSF        STATUS, 6
0x023B	0x0815      	MOVF       ___savePCLATH, 0
0x023C	0x008A      	MOVWF      PCLATH
0x023D	0x0E16      	SWAPF      ___saveSTATUS, 0
0x023E	0x0083      	MOVWF      STATUS
0x023F	0x0EFF      	SWAPF      R15, 1
0x0240	0x0E7F      	SWAPF      R15, 0
0x0241	0x0009      	RETFIE
; end of _interrupt
_Delay_1us:
0x0242	0x0000      	NOP
0x0243	0x0000      	NOP
L_end_Delay_1us:
0x0244	0x0008      	RETURN
; end of _Delay_1us
_Delay_50us:
0x0245	0x3021      	MOVLW      33
0x0246	0x1283      	BCF        STATUS, 5
0x0247	0x1303      	BCF        STATUS, 6
0x0248	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x0249	0x0BFD      	DECFSZ     R13, 1
0x024A	0x2A49      	GOTO       L_Delay_50us2
L_end_Delay_50us:
0x024B	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
0x024C	0x300F      	MOVLW      15
0x024D	0x1283      	BCF        STATUS, 5
0x024E	0x1303      	BCF        STATUS, 6
0x024F	0x00FC      	MOVWF      R12
0x0250	0x3047      	MOVLW      71
0x0251	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x0252	0x0BFD      	DECFSZ     R13, 1
0x0253	0x2A52      	GOTO       L_Delay_5500us5
0x0254	0x0BFC      	DECFSZ     R12, 1
0x0255	0x2A52      	GOTO       L_Delay_5500us5
0x0256	0x0000      	NOP
0x0257	0x0000      	NOP
L_end_Delay_5500us:
0x0258	0x0008      	RETURN
; end of _Delay_5500us
_Div_16x16_S_L:
0x0259	0x0D71      	RLF        R1, 0
0x025A	0x0DF8      	RLF        R8, 1
0x025B	0x0DF9      	RLF        R9, 1
0x025C	0x0874      	MOVF       R4, 0
0x025D	0x02F8      	SUBWF      R8, 1
0x025E	0x0875      	MOVF       R5, 0
0x025F	0x1C03      	BTFSS      STATUS, 0
0x0260	0x0F75      	INCFSZ     R5, 0
0x0261	0x02F9      	SUBWF      R9, 1
0x0262	0x0DF0      	RLF        R0, 1
0x0263	0x0DF1      	RLF        R1, 1
0x0264	0x300F      	MOVLW      15
0x0265	0x00FC      	MOVWF      R12
0x0266	0x0D71      	RLF        R1, 0
0x0267	0x0DF8      	RLF        R8, 1
0x0268	0x0DF9      	RLF        R9, 1
0x0269	0x0874      	MOVF       R4, 0
0x026A	0x1C70      	BTFSS      R0, 0
0x026B	0x2A72      	GOTO       $+7
0x026C	0x02F8      	SUBWF      R8, 1
0x026D	0x0875      	MOVF       R5, 0
0x026E	0x1C03      	BTFSS      STATUS, 0
0x026F	0x0F75      	INCFSZ     R5, 0
0x0270	0x02F9      	SUBWF      R9, 1
0x0271	0x2A77      	GOTO       $+6
0x0272	0x07F8      	ADDWF      R8, 1
0x0273	0x0875      	MOVF       R5, 0
0x0274	0x1803      	BTFSC      STATUS, 0
0x0275	0x0F75      	INCFSZ     R5, 0
0x0276	0x07F9      	ADDWF      R9, 1
0x0277	0x0DF0      	RLF        R0, 1
0x0278	0x0DF1      	RLF        R1, 1
0x0279	0x0BFC      	DECFSZ     R12, 1
0x027A	0x2A66      	GOTO       $-20
0x027B	0x1870      	BTFSC      R0, 0
0x027C	0x2A83      	GOTO       $+7
0x027D	0x0874      	MOVF       R4, 0
0x027E	0x07F8      	ADDWF      R8, 1
0x027F	0x0875      	MOVF       R5, 0
0x0280	0x1803      	BTFSC      STATUS, 0
0x0281	0x0F75      	INCFSZ     R5, 0
0x0282	0x07F9      	ADDWF      R9, 1
0x0283	0x0000      	NOP
L_end_Div_16x16_S_L:
0x0284	0x0008      	RETURN
; end of _Div_16x16_S_L
_Lcd_Cmd:
0x0285	0x1283      	BCF        STATUS, 5
0x0286	0x1703      	BSF        STATUS, 6
0x0287	0x1BAA      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x0288	0x2A8C      	GOTO       L__Lcd_Cmd21
0x0289	0x1303      	BCF        STATUS, 6
0x028A	0x1188      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x028B	0x2A8E      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x028C	0x1303      	BCF        STATUS, 6
0x028D	0x1588      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
0x028E	0x1703      	BSF        STATUS, 6
0x028F	0x1B2A      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x0290	0x2A94      	GOTO       L__Lcd_Cmd23
0x0291	0x1303      	BCF        STATUS, 6
0x0292	0x1108      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x0293	0x2A96      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x0294	0x1303      	BCF        STATUS, 6
0x0295	0x1508      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
0x0296	0x1703      	BSF        STATUS, 6
0x0297	0x1AAA      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x0298	0x2A9C      	GOTO       L__Lcd_Cmd25
0x0299	0x1303      	BCF        STATUS, 6
0x029A	0x1088      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x029B	0x2A9E      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x029C	0x1303      	BCF        STATUS, 6
0x029D	0x1488      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
0x029E	0x1703      	BSF        STATUS, 6
0x029F	0x1A2A      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x02A0	0x2AA4      	GOTO       L__Lcd_Cmd27
0x02A1	0x1303      	BCF        STATUS, 6
0x02A2	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x02A3	0x2AA6      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x02A4	0x1303      	BCF        STATUS, 6
0x02A5	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
0x02A6	0x1703      	BSF        STATUS, 6
0x02A7	0x1812      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x02A8	0x2AAC      	GOTO       L__Lcd_Cmd29
0x02A9	0x1303      	BCF        STATUS, 6
0x02AA	0x1608      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x02AB	0x2AAE      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x02AC	0x1303      	BCF        STATUS, 6
0x02AD	0x1208      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
0x02AE	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
0x02AF	0x2242      	CALL       _Delay_1us
0x02B0	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
0x02B1	0x1703      	BSF        STATUS, 6
0x02B2	0x19AA      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x02B3	0x2AB7      	GOTO       L__Lcd_Cmd31
0x02B4	0x1303      	BCF        STATUS, 6
0x02B5	0x1188      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x02B6	0x2AB9      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x02B7	0x1303      	BCF        STATUS, 6
0x02B8	0x1588      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
0x02B9	0x1703      	BSF        STATUS, 6
0x02BA	0x192A      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x02BB	0x2ABF      	GOTO       L__Lcd_Cmd33
0x02BC	0x1303      	BCF        STATUS, 6
0x02BD	0x1108      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x02BE	0x2AC1      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x02BF	0x1303      	BCF        STATUS, 6
0x02C0	0x1508      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
0x02C1	0x1703      	BSF        STATUS, 6
0x02C2	0x18AA      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x02C3	0x2AC7      	GOTO       L__Lcd_Cmd35
0x02C4	0x1303      	BCF        STATUS, 6
0x02C5	0x1088      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x02C6	0x2AC9      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x02C7	0x1303      	BCF        STATUS, 6
0x02C8	0x1488      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
0x02C9	0x1703      	BSF        STATUS, 6
0x02CA	0x182A      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x02CB	0x2ACF      	GOTO       L__Lcd_Cmd37
0x02CC	0x1303      	BCF        STATUS, 6
0x02CD	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x02CE	0x2AD1      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x02CF	0x1303      	BCF        STATUS, 6
0x02D0	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
0x02D1	0x1703      	BSF        STATUS, 6
0x02D2	0x1812      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x02D3	0x2AD7      	GOTO       L__Lcd_Cmd39
0x02D4	0x1303      	BCF        STATUS, 6
0x02D5	0x1608      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x02D6	0x2AD9      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x02D7	0x1303      	BCF        STATUS, 6
0x02D8	0x1208      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
0x02D9	0x1688      	BSF        LCD_EN, BitPos(LCD_EN+0)
0x02DA	0x2242      	CALL       _Delay_1us
0x02DB	0x1288      	BCF        LCD_EN, BitPos(LCD_EN+0)
0x02DC	0x1703      	BSF        STATUS, 6
0x02DD	0x1C12      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x02DE	0x2AE1      	GOTO       L_Lcd_Cmd0
0x02DF	0x224C      	CALL       _Delay_5500us
0x02E0	0x2AE2      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
0x02E1	0x2245      	CALL       _Delay_50us
L_Lcd_Cmd1:
L_end_Lcd_Cmd:
0x02E2	0x0008      	RETURN
; end of _Lcd_Cmd
_Lcd_Chr:
0x02E3	0x2AF5      	GOTO       L_Lcd_Chr4
L_Lcd_Chr6:
0x02E4	0x3080      	MOVLW      128
0x02E5	0x1283      	BCF        STATUS, 5
0x02E6	0x1703      	BSF        STATUS, 6
0x02E7	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x02E8	0x2B08      	GOTO       L_Lcd_Chr5
L_Lcd_Chr7:
0x02E9	0x30C0      	MOVLW      192
0x02EA	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x02EB	0x2B08      	GOTO       L_Lcd_Chr5
L_Lcd_Chr8:
0x02EC	0x3094      	MOVLW      148
0x02ED	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x02EE	0x2B08      	GOTO       L_Lcd_Chr5
L_Lcd_Chr9:
0x02EF	0x30D4      	MOVLW      212
0x02F0	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x02F1	0x2B08      	GOTO       L_Lcd_Chr5
L_Lcd_Chr10:
0x02F2	0x3080      	MOVLW      128
0x02F3	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x02F4	0x2B08      	GOTO       L_Lcd_Chr5
L_Lcd_Chr4:
0x02F5	0x1283      	BCF        STATUS, 5
0x02F6	0x1703      	BSF        STATUS, 6
0x02F7	0x0827      	MOVF       FARG_Lcd_Chr_row, 0
0x02F8	0x3A01      	XORLW      1
0x02F9	0x1903      	BTFSC      STATUS, 2
0x02FA	0x2AE4      	GOTO       L_Lcd_Chr6
0x02FB	0x0827      	MOVF       FARG_Lcd_Chr_row, 0
0x02FC	0x3A02      	XORLW      2
0x02FD	0x1903      	BTFSC      STATUS, 2
0x02FE	0x2AE9      	GOTO       L_Lcd_Chr7
0x02FF	0x0827      	MOVF       FARG_Lcd_Chr_row, 0
0x0300	0x3A03      	XORLW      3
0x0301	0x1903      	BTFSC      STATUS, 2
0x0302	0x2AEC      	GOTO       L_Lcd_Chr8
0x0303	0x0827      	MOVF       FARG_Lcd_Chr_row, 0
0x0304	0x3A04      	XORLW      4
0x0305	0x1903      	BTFSC      STATUS, 2
0x0306	0x2AEF      	GOTO       L_Lcd_Chr9
0x0307	0x2AF2      	GOTO       L_Lcd_Chr10
L_Lcd_Chr5:
0x0308	0x0328      	DECF       FARG_Lcd_Chr_column, 0
0x0309	0x00F0      	MOVWF      R0
0x030A	0x0827      	MOVF       FARG_Lcd_Chr_row, 0
0x030B	0x07F0      	ADDWF      R0, 1
0x030C	0x0870      	MOVF       R0, 0
0x030D	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x030E	0x1412      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x030F	0x0870      	MOVF       R0, 0
0x0310	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x0311	0x2285      	CALL       _Lcd_Cmd
0x0312	0x1703      	BSF        STATUS, 6
0x0313	0x1012      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0314	0x0829      	MOVF       FARG_Lcd_Chr_out_char, 0
0x0315	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x0316	0x2285      	CALL       _Lcd_Cmd
0x0317	0x1703      	BSF        STATUS, 6
0x0318	0x1412      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
L_end_Lcd_Chr:
0x0319	0x0008      	RETURN
; end of _Lcd_Chr
_Div_16x16_S:
0x031A	0x1283      	BCF        STATUS, 5
0x031B	0x1303      	BCF        STATUS, 6
0x031C	0x0874      	MOVF       R4, 0
0x031D	0x3A00      	XORLW      0
0x031E	0x1D03      	BTFSS      STATUS, 2
0x031F	0x2B29      	GOTO       L_Div_16x16_S0
0x0320	0x0875      	MOVF       R5, 0
0x0321	0x3A00      	XORLW      0
0x0322	0x1D03      	BTFSS      STATUS, 2
0x0323	0x2B29      	GOTO       L_Div_16x16_S1
0x0324	0x30FF      	MOVLW      255
0x0325	0x00F0      	MOVWF      R0
0x0326	0x307F      	MOVLW      127
0x0327	0x00F1      	MOVWF      R1
0x0328	0x2B82      	GOTO       L_end_Div_16x16_S
L_Div_16x16_S1:
L_Div_16x16_S0:
0x0329	0x1283      	BCF        STATUS, 5
0x032A	0x1303      	BCF        STATUS, 6
0x032B	0x01FD      	CLRF       R13
0x032C	0x01F9      	CLRF       R9
0x032D	0x01F8      	CLRF       R8
0x032E	0x0871      	MOVF       R1, 0
0x032F	0x0470      	IORWF      R0, 0
0x0330	0x1903      	BTFSC      STATUS, 2
0x0331	0x3400      	RETLW      0
0x0332	0x0871      	MOVF       R1, 0
0x0333	0x0675      	XORWF      R5, 0
0x0334	0x00FA      	MOVWF      R10
0x0335	0x1BFA      	BTFSC      R10, 7
0x0336	0x09FD      	COMF       R13, 1
0x0337	0x01FB      	CLRF       R11
0x0338	0x1FF5      	BTFSS      R5, 7
0x0339	0x2B3F      	GOTO       $+6
0x033A	0x09F4      	COMF       R4, 1
0x033B	0x09F5      	COMF       R5, 1
0x033C	0x0AF4      	INCF       R4, 1
0x033D	0x1903      	BTFSC      STATUS, 2
0x033E	0x0AF5      	INCF       R5, 1
0x033F	0x1FF1      	BTFSS      R1, 7
0x0340	0x2B46      	GOTO       $+6
0x0341	0x09F0      	COMF       R0, 1
0x0342	0x09F1      	COMF       R1, 1
0x0343	0x0AF0      	INCF       R0, 1
0x0344	0x1903      	BTFSC      STATUS, 2
0x0345	0x0AF1      	INCF       R1, 1
0x0346	0x0871      	MOVF       R1, 0
0x0347	0x0475      	IORWF      R5, 0
0x0348	0x00FA      	MOVWF      R10
0x0349	0x1BFA      	BTFSC      R10, 7
0x034A	0x2B5B      	GOTO       $+17
0x034B	0x2259      	CALL       _Div_16x16_S_L
0x034C	0x187B      	BTFSC      R11, 0
0x034D	0x2B6E      	GOTO       $+33
0x034E	0x1FFD      	BTFSS      R13, 7
0x034F	0x3400      	RETLW      0
0x0350	0x09F0      	COMF       R0, 1
0x0351	0x09F1      	COMF       R1, 1
0x0352	0x0AF0      	INCF       R0, 1
0x0353	0x1903      	BTFSC      STATUS, 2
0x0354	0x0AF1      	INCF       R1, 1
0x0355	0x09F8      	COMF       R8, 1
0x0356	0x09F9      	COMF       R9, 1
0x0357	0x0AF8      	INCF       R8, 1
0x0358	0x1903      	BTFSC      STATUS, 2
0x0359	0x0AF9      	INCF       R9, 1
0x035A	0x3400      	RETLW      0
0x035B	0x1FF5      	BTFSS      R5, 7
0x035C	0x2B6A      	GOTO       $+14
0x035D	0x1BF1      	BTFSC      R1, 7
0x035E	0x2B66      	GOTO       $+8
0x035F	0x0871      	MOVF       R1, 0
0x0360	0x00F9      	MOVWF      R9
0x0361	0x0870      	MOVF       R0, 0
0x0362	0x00F8      	MOVWF      R8
0x0363	0x01F1      	CLRF       R1
0x0364	0x01F0      	CLRF       R0
0x0365	0x2B4E      	GOTO       $-23
0x0366	0x01F1      	CLRF       R1
0x0367	0x01F0      	CLRF       R0
0x0368	0x0AF0      	INCF       R0, 1
0x0369	0x3400      	RETLW      0
0x036A	0x09F1      	COMF       R1, 1
0x036B	0x09F0      	COMF       R0, 1
0x036C	0x0AFB      	INCF       R11, 1
0x036D	0x2B4B      	GOTO       $-34
0x036E	0x0AF8      	INCF       R8, 1
0x036F	0x1903      	BTFSC      STATUS, 2
0x0370	0x0AF9      	INCF       R9, 1
0x0371	0x0874      	MOVF       R4, 0
0x0372	0x0278      	SUBWF      R8, 0
0x0373	0x1D03      	BTFSS      STATUS, 2
0x0374	0x2B4E      	GOTO       $-38
0x0375	0x0875      	MOVF       R5, 0
0x0376	0x0279      	SUBWF      R9, 0
0x0377	0x1D03      	BTFSS      STATUS, 2
0x0378	0x2B4E      	GOTO       $-42
0x0379	0x01F9      	CLRF       R9
0x037A	0x01F8      	CLRF       R8
0x037B	0x0AF0      	INCF       R0, 1
0x037C	0x1903      	BTFSC      STATUS, 2
0x037D	0x0AF1      	INCF       R1, 1
0x037E	0x1FF1      	BTFSS      R1, 7
0x037F	0x2B4E      	GOTO       $-49
0x0380	0x0000      	NOP
0x0381	0x34FF      	RETLW      255
L_end_Div_16x16_S:
0x0382	0x0008      	RETURN
; end of _Div_16x16_S
_Lcd_Chr_CP:
0x0383	0x1283      	BCF        STATUS, 5
0x0384	0x1703      	BSF        STATUS, 6
0x0385	0x1012      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0386	0x0827      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x0387	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x0388	0x2285      	CALL       _Lcd_Cmd
0x0389	0x1703      	BSF        STATUS, 6
0x038A	0x1412      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
L_end_Lcd_Chr_CP:
0x038B	0x0008      	RETURN
; end of _Lcd_Chr_CP
_convert:
0x038C	0x300A      	MOVLW      10
0x038D	0x1283      	BCF        STATUS, 5
0x038E	0x1303      	BCF        STATUS, 6
0x038F	0x00F4      	MOVWF      R4
0x0390	0x3000      	MOVLW      0
0x0391	0x00F5      	MOVWF      R4+1
0x0392	0x1703      	BSF        STATUS, 6
0x0393	0x081F      	MOVF       FARG_convert_h, 0
0x0394	0x00F0      	MOVWF      R0
0x0395	0x0820      	MOVF       FARG_convert_h+1, 0
0x0396	0x00F1      	MOVWF      R0+1
0x0397	0x231A      	CALL       _Div_16x16_S
0x0398	0x3030      	MOVLW      48
0x0399	0x07F0      	ADDWF      R0, 1
0x039A	0x1703      	BSF        STATUS, 6
0x039B	0x0825      	MOVF       FARG_convert_output, 0
0x039C	0x0084      	MOVWF      FSR
0x039D	0x0870      	MOVF       R0, 0
0x039E	0x0080      	MOVWF      INDF
0x039F	0x0A25      	INCF       FARG_convert_output, 0
0x03A0	0x00A6      	MOVWF      FLOC__convert
0x03A1	0x300A      	MOVLW      10
0x03A2	0x00F4      	MOVWF      R4
0x03A3	0x3000      	MOVLW      0
0x03A4	0x00F5      	MOVWF      R4+1
0x03A5	0x081F      	MOVF       FARG_convert_h, 0
0x03A6	0x00F0      	MOVWF      R0
0x03A7	0x0820      	MOVF       FARG_convert_h+1, 0
0x03A8	0x00F1      	MOVWF      R0+1
0x03A9	0x231A      	CALL       _Div_16x16_S
0x03AA	0x0878      	MOVF       R8, 0
0x03AB	0x00F0      	MOVWF      R0
0x03AC	0x0879      	MOVF       R8+1, 0
0x03AD	0x00F1      	MOVWF      R0+1
0x03AE	0x3030      	MOVLW      48
0x03AF	0x07F0      	ADDWF      R0, 1
0x03B0	0x1703      	BSF        STATUS, 6
0x03B1	0x0826      	MOVF       FLOC__convert, 0
0x03B2	0x0084      	MOVWF      FSR
0x03B3	0x0870      	MOVF       R0, 0
0x03B4	0x0080      	MOVWF      INDF
0x03B5	0x3002      	MOVLW      2
0x03B6	0x0725      	ADDWF      FARG_convert_output, 0
0x03B7	0x0084      	MOVWF      FSR
0x03B8	0x303A      	MOVLW      58
0x03B9	0x0080      	MOVWF      INDF
0x03BA	0x3003      	MOVLW      3
0x03BB	0x0725      	ADDWF      FARG_convert_output, 0
0x03BC	0x00A6      	MOVWF      FLOC__convert
0x03BD	0x300A      	MOVLW      10
0x03BE	0x00F4      	MOVWF      R4
0x03BF	0x3000      	MOVLW      0
0x03C0	0x00F5      	MOVWF      R4+1
0x03C1	0x0821      	MOVF       FARG_convert_m, 0
0x03C2	0x00F0      	MOVWF      R0
0x03C3	0x0822      	MOVF       FARG_convert_m+1, 0
0x03C4	0x00F1      	MOVWF      R0+1
0x03C5	0x231A      	CALL       _Div_16x16_S
0x03C6	0x3030      	MOVLW      48
0x03C7	0x07F0      	ADDWF      R0, 1
0x03C8	0x1703      	BSF        STATUS, 6
0x03C9	0x0826      	MOVF       FLOC__convert, 0
0x03CA	0x0084      	MOVWF      FSR
0x03CB	0x0870      	MOVF       R0, 0
0x03CC	0x0080      	MOVWF      INDF
0x03CD	0x3004      	MOVLW      4
0x03CE	0x0725      	ADDWF      FARG_convert_output, 0
0x03CF	0x00A6      	MOVWF      FLOC__convert
0x03D0	0x300A      	MOVLW      10
0x03D1	0x00F4      	MOVWF      R4
0x03D2	0x3000      	MOVLW      0
0x03D3	0x00F5      	MOVWF      R4+1
0x03D4	0x0821      	MOVF       FARG_convert_m, 0
0x03D5	0x00F0      	MOVWF      R0
0x03D6	0x0822      	MOVF       FARG_convert_m+1, 0
0x03D7	0x00F1      	MOVWF      R0+1
0x03D8	0x231A      	CALL       _Div_16x16_S
0x03D9	0x0878      	MOVF       R8, 0
0x03DA	0x00F0      	MOVWF      R0
0x03DB	0x0879      	MOVF       R8+1, 0
0x03DC	0x00F1      	MOVWF      R0+1
0x03DD	0x3030      	MOVLW      48
0x03DE	0x07F0      	ADDWF      R0, 1
0x03DF	0x1703      	BSF        STATUS, 6
0x03E0	0x0826      	MOVF       FLOC__convert, 0
0x03E1	0x0084      	MOVWF      FSR
0x03E2	0x0870      	MOVF       R0, 0
0x03E3	0x0080      	MOVWF      INDF
0x03E4	0x3005      	MOVLW      5
0x03E5	0x0725      	ADDWF      FARG_convert_output, 0
0x03E6	0x0084      	MOVWF      FSR
0x03E7	0x0180      	CLRF       INDF
L_end_convert:
0x03E8	0x0008      	RETURN
; end of _convert
_Lcd_Out:
0x03E9	0x2BFB      	GOTO       L_Lcd_Out11
L_Lcd_Out13:
0x03EA	0x3080      	MOVLW      128
0x03EB	0x1283      	BCF        STATUS, 5
0x03EC	0x1703      	BSF        STATUS, 6
0x03ED	0x009F      	MOVWF      FARG_Lcd_Out_row
0x03EE	0x2C0E      	GOTO       L_Lcd_Out12
L_Lcd_Out14:
0x03EF	0x30C0      	MOVLW      192
0x03F0	0x009F      	MOVWF      FARG_Lcd_Out_row
0x03F1	0x2C0E      	GOTO       L_Lcd_Out12
L_Lcd_Out15:
0x03F2	0x3094      	MOVLW      148
0x03F3	0x009F      	MOVWF      FARG_Lcd_Out_row
0x03F4	0x2C0E      	GOTO       L_Lcd_Out12
L_Lcd_Out16:
0x03F5	0x30D4      	MOVLW      212
0x03F6	0x009F      	MOVWF      FARG_Lcd_Out_row
0x03F7	0x2C0E      	GOTO       L_Lcd_Out12
L_Lcd_Out17:
0x03F8	0x3080      	MOVLW      128
0x03F9	0x009F      	MOVWF      FARG_Lcd_Out_row
0x03FA	0x2C0E      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x03FB	0x1283      	BCF        STATUS, 5
0x03FC	0x1703      	BSF        STATUS, 6
0x03FD	0x081F      	MOVF       FARG_Lcd_Out_row, 0
0x03FE	0x3A01      	XORLW      1
0x03FF	0x1903      	BTFSC      STATUS, 2
0x0400	0x2BEA      	GOTO       L_Lcd_Out13
0x0401	0x081F      	MOVF       FARG_Lcd_Out_row, 0
0x0402	0x3A02      	XORLW      2
0x0403	0x1903      	BTFSC      STATUS, 2
0x0404	0x2BEF      	GOTO       L_Lcd_Out14
0x0405	0x081F      	MOVF       FARG_Lcd_Out_row, 0
0x0406	0x3A03      	XORLW      3
0x0407	0x1903      	BTFSC      STATUS, 2
0x0408	0x2BF2      	GOTO       L_Lcd_Out15
0x0409	0x081F      	MOVF       FARG_Lcd_Out_row, 0
0x040A	0x3A04      	XORLW      4
0x040B	0x1903      	BTFSC      STATUS, 2
0x040C	0x2BF5      	GOTO       L_Lcd_Out16
0x040D	0x2BF8      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
0x040E	0x0320      	DECF       FARG_Lcd_Out_column, 0
0x040F	0x00F0      	MOVWF      R0
0x0410	0x081F      	MOVF       FARG_Lcd_Out_row, 0
0x0411	0x07F0      	ADDWF      R0, 1
0x0412	0x0870      	MOVF       R0, 0
0x0413	0x009F      	MOVWF      FARG_Lcd_Out_row
0x0414	0x0870      	MOVF       R0, 0
0x0415	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x0416	0x2285      	CALL       _Lcd_Cmd
0x0417	0x1703      	BSF        STATUS, 6
0x0418	0x1012      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0419	0x01A2      	CLRF       Lcd_Out_i_L0
L_Lcd_Out18:
0x041A	0x0822      	MOVF       Lcd_Out_i_L0, 0
0x041B	0x0721      	ADDWF      FARG_Lcd_Out_text, 0
0x041C	0x0084      	MOVWF      FSR
